(-1.00553,-0.0688683)
(-1.00621,-0.0582508)
(-1.00673,-0.0486049)
(-1.00712,-0.0399335)
(-1.0074,-0.0322387)
(-1.00759,-0.0255223)
(-1.00772,-0.0197851)
(-1.00781,-0.015028)
(-1.00786,-0.0112513)
(-1.00788,-0.00845542)
(-1.0079,-0.00664039)
(-1.0079,-0.0058063)
(-1.0079,-0.00595318)
(-1.00789,-0.00708102)
(-1.00788,-0.00918979)
(-1.00784,-0.0122794)
(-1.00779,-0.0163497)
(-1.00769,-0.0214005)
(-1.00755,-0.0274311)
(-1.00734,-0.0344409)
(-1.00704,-0.0424287)
(-1.00662,-0.0513927)
(-1.00607,-0.0613308)
(-1.00536,-0.0722397)
(-1.00444,-0.0841155)
(-1.0033,-0.0969529)
(-1.00188,-0.110745)
(-1.00016,-0.125485)
(-0.998085,-0.141161)
(-0.995616,-0.157763)
(-0.992706,-0.175277)
(-0.989305,-0.193684)
(-0.985363,-0.212967)
(-0.980826,-0.233104)
(-0.975642,-0.254067)
(-0.969752,-0.275828)
(-0.963103,-0.298355)
(-0.955635,-0.32161)
(-0.947291,-0.345552)
(-0.938013,-0.370136)
(-0.927743,-0.39531)
(-0.916426,-0.42102)
(-0.904006,-0.447205)
(-0.890429,-0.473801)
(-0.875644,-0.500738)
(-0.859605,-0.527939)
(-0.842265,-0.555325)
(-0.823585,-0.582811)
(-0.803528,-0.610307)
(-0.782066,-0.637719)
(-0.759173,-0.664949)
(-0.734832,-0.691895)
(-0.709033,-0.718453)
(-0.681771,-0.744515)
(-0.653052,-0.769972)
(-0.622889,-0.794713)
(-0.591305,-0.818628)
(-0.55833,-0.841606)
(-0.524006,-0.863539)
(-0.488381,-0.884318)
(-0.451516,-0.903841)
(-0.413476,-0.922007)
(-0.374341,-0.938722)
(-0.334194,-0.953897)
(-0.29313,-0.967449)
(-0.251248,-0.979306)
(-0.208657,-0.989401)
(-0.165469,-0.997677)
(-0.121803,-1.00409)
(-0.0777817,-1.0086)
(-0.0335294,-1.01118)
(0.0108262,-1.01183)
(0.0551569,-1.01052)
(0.0993348,-1.00729)
(0.143233,-1.00213)
(0.186729,-0.995092)
(0.2297,-0.986205)
(0.272032,-0.975524)
(0.313613,-0.963107)
(0.354338,-0.949026)
(0.394112,-0.933356)
(0.432843,-0.916184)
(0.47045,-0.897599)
(0.50686,-0.8777)
(0.542009,-0.856586)
(0.575842,-0.834364)
(0.608314,-0.811141)
(0.639388,-0.787025)
(0.669036,-0.762128)
(0.69724,-0.73656)
(0.72399,-0.71043)
(0.749283,-0.683847)
(0.773128,-0.656916)
(0.795535,-0.62974)
(0.816527,-0.602419)
(0.836129,-0.57505)
(0.854372,-0.547723)
(0.871295,-0.520528)
(0.886939,-0.493546)
(0.90135,-0.466855)
(0.914575,-0.440529)
(0.926667,-0.414636)
(0.937678,-0.389238)
(0.947665,-0.364393)
(0.956684,-0.340156)
(0.964792,-0.316573)
(0.972045,-0.29369)
(0.978502,-0.271546)
(0.984219,-0.250176)
(0.989252,-0.229613)
(0.993654,-0.209883)
(0.997481,-0.191012)
(1.00078,-0.17302)
(1.00361,-0.155927)
(1.00601,-0.139748)
(1.00803,-0.124496)
(1.00971,-0.110183)
(1.01109,-0.0968185)
(1.01221,-0.0844097)
(1.01311,-0.072963)
(1.01381,-0.0624834)
(1.01436,-0.0529748)
(1.01478,-0.0444401)
(1.01508,-0.0368816)
(1.0153,-0.0303009)
(1.01545,-0.0246992)
(1.01556,-0.0200772)
(1.01562,-0.0164355)
(1.01566,-0.0137743)
(1.01568,-0.0120939)
(1.01569,-0.0113943)
(1.01568,-0.0116756)
(1.01567,-0.0129377)
(1.01564,-0.0151806)
(1.01558,-0.0184043)
(1.0155,-0.0226083)
(1.01537,-0.0277924)
(1.01518,-0.0339559)
(1.01492,-0.0410978)
(1.01456,-0.0492169)
(1.01409,-0.0583112)
(1.01347,-0.0683781)
(1.01267,-0.0794143)
(1.01166,-0.0914153)
(1.01042,-0.104376)
(1.0089,-0.118289)
(1.00706,-0.133145)
(1.00487,-0.148936)
(1.00227,-0.165648)
(0.999219,-0.183267)
(0.995672,-0.201775)
(0.991576,-0.221154)
(0.986879,-0.24138)
(0.981527,-0.262428)
(0.975464,-0.284267)
(0.968635,-0.306864)
(0.960982,-0.330182)
(0.952449,-0.354179)
(0.942978,-0.37881)
(0.932512,-0.404023)
(0.920996,-0.429763)
(0.908375,-0.45597)
(0.894597,-0.482579)
(0.879611,-0.509519)
(0.863371,-0.536716)
(0.845833,-0.564088)
(0.826958,-0.591553)
(0.80671,-0.619019)
(0.785061,-0.646394)
(0.761986,-0.673581)
(0.73747,-0.700477)
(0.711502,-0.726979)
(0.684079,-0.752981)
(0.655208,-0.778375)
(0.624901,-0.80305)
(0.593182,-0.826897)
(0.560082,-0.849808)
(0.525642,-0.871672)
(0.48991,-0.892386)
(0.452946,-0.911846)
(0.414818,-0.929954)
(0.375602,-0.946616)
(0.335382,-0.961744)
(0.294251,-0.975258)
(0.252309,-0.987083)
(0.209662,-0.997156)
(0.166422,-1.00542)
(0.122708,-1.01183)
(0.0786382,-1.01635)
(0.0343385,-1.01895)
(-0.0100657,-1.01962)
(-0.0544474,-1.01836)
(-0.0986802,-1.01518)
(-0.142639,-1.01008)
(-0.1862,-1.00311)
(-0.229244,-0.9943)
(-0.271657,-0.983703)
(-0.313328,-0.971378)
(-0.354154,-0.957393)
(-0.394038,-0.941824)
(-0.43289,-0.924755)
(-0.470629,-0.906276)
(-0.507182,-0.886482)
(-0.542486,-0.865473)
(-0.576485,-0.843353)
(-0.609132,-0.820228)
(-0.640392,-0.796206)
(-0.670235,-0.771397)
(-0.698644,-0.74591)
(-0.725606,-0.719853)
(-0.751119,-0.693334)
(-0.775189,-0.666458)
(-0.797828,-0.639328)
(-0.819054,-0.612042)
(-0.838894,-0.584696)
(-0.857378,-0.557383)
(-0.874543,-0.530189)
(-0.890428,-0.503198)
(-0.905078,-0.476486)
(-0.918542,-0.450128)
(-0.930869,-0.424191)
(-0.942112,-0.398739)
(-0.952325,-0.373831)
(-0.961565,-0.349519)
(-0.969888,-0.325853)
(-0.97735,-0.302878)
(-0.984007,-0.280633)
(-0.989917,-0.259154)
(-0.995134,-0.238474)
(-0.999713,-0.218621)
(-1.00371,-0.19962)
(-1.00717,-0.181494)
(-1.01014,-0.16426)
(-1.01268,-0.147936)
(-1.01482,-0.132535)
(-1.01662,-0.118069)
(-1.01811,-0.104549)
(-1.01934,-0.0919809)
(-1.02033,-0.080373)
(-1.02112,-0.0697302)
(-1.02174,-0.0600567)
(-1.02221,-0.0513557)
(-1.02258,-0.0436298)
(-1.02284,-0.0368807)
(-1.02304,-0.03111)
(-1.02317,-0.0263184)
(-1.02326,-0.0225067)
(-1.02332,-0.0196752)
(-1.02335,-0.0178243)
(-1.02336,-0.016954)
(-1.02336,-0.0170645)
(-1.02334,-0.0181556)
(-1.0233,-0.0202274)
(-1.02323,-0.0232797)
(-1.02313,-0.0273122)
(-1.02299,-0.0323245)
(-1.02278,-0.0383159)
(-1.0225,-0.0452854)
(-1.02212,-0.0532316)
(-1.02162,-0.0621526)
(-1.02097,-0.0720458)
(-1.02016,-0.0829078)
(-1.01914,-0.0947342)
(-1.01788,-0.10752)
(-1.01634,-0.121257)
(-1.0145,-0.135939)
(-1.0123,-0.151554)
(-1.00971,-0.168091)
(-1.00667,-0.185535)
(-1.00314,-0.203871)
(-0.999071,-0.223078)
(-0.994411,-0.243134)
(-0.989105,-0.264014)
(-0.983101,-0.285688)
(-0.976341,-0.308125)
(-0.968771,-0.331288)
(-0.960333,-0.355136)
(-0.950971,-0.379624)
(-0.940629,-0.404703)
(-0.929251,-0.430318)
(-0.916784,-0.456411)
(-0.903174,-0.482918)
(-0.888372,-0.509771)
(-0.87233,-0.536895)
(-0.855005,-0.564212)
(-0.836357,-0.591639)
(-0.81635,-0.61909)
(-0.794955,-0.64647)
(-0.772146,-0.673686)
(-0.747905,-0.700638)
(-0.722222,-0.727222)
(-0.695091,-0.753335)
(-0.666517,-0.778869)
(-0.636511,-0.803717)
(-0.605092,-0.827768)
(-0.572291,-0.850916)
(-0.538145,-0.873052)
(-0.5027,-0.894071)
(-0.466013,-0.913871)
(-0.428148,-0.932352)
(-0.389178,-0.94942)
(-0.349185,-0.964987)
(-0.308258,-0.978971)
(-0.266495,-0.991296)
(-0.223998,-1.0019)
(-0.180877,-1.01071)
(-0.137247,-1.0177)
(-0.0932255,-1.02281)
(-0.0489359,-1.02603)
(-0.0045018,-1.02733)
(0.0399513,-1.0267)
(0.0842978,-1.02416)
(0.128413,-1.01971)
(0.172175,-1.01338)
(0.215463,-1.00521)
(0.258163,-0.995244)
(0.300162,-0.983536)
(0.341358,-0.970151)
(0.38165,-0.955162)
(0.420947,-0.938649)
(0.459167,-0.9207)
(0.496234,-0.901406)
(0.53208,-0.880865)
(0.566649,-0.859178)
(0.59989,-0.836451)
(0.631763,-0.812788)
(0.662238,-0.788299)
(0.691291,-0.763092)
(0.718909,-0.737274)
(0.745085,-0.710953)
(0.769821,-0.684233)
