t,X0,Y0,Z0,X'0,Y'0,Z'0
1.590000,-0.702600,-0.711586,0.000000,2.658827,-2.625251,0.000000
1.600000,-0.675276,-0.737565,0.000000,2.805756,-2.568804,0.000000
1.610000,-0.646488,-0.762925,0.000000,2.951696,-2.501212,0.000000
1.620000,-0.616249,-0.787552,0.000000,3.095766,-2.422395,0.000000
1.630000,-0.584582,-0.811335,0.000000,3.237052,-2.332356,0.000000
1.640000,-0.551520,-0.834162,0.000000,3.374620,-2.231186,0.000000
1.650000,-0.517105,-0.855922,0.000000,3.507525,-2.119070,0.000000
1.660000,-0.481388,-0.876508,0.000000,3.634820,-1.996286,0.000000
1.670000,-0.444431,-0.895814,0.000000,3.755569,-1.863211,0.000000
1.680000,-0.406302,-0.913740,0.000000,3.868857,-1.720320,0.000000
1.690000,-0.367081,-0.930189,0.000000,3.973802,-1.568184,0.000000
1.700000,-0.326856,-0.945075,0.000000,4.069567,-1.407471,0.000000
1.710000,-0.285723,-0.958313,0.000000,4.155373,-1.238934,0.000000
1.720000,-0.243785,-0.969830,0.000000,4.230508,-1.063416,0.000000
1.730000,-0.201151,-0.979561,0.000000,4.294338,-0.881833,0.000000
1.740000,-0.157937,-0.987450,0.000000,4.346319,-0.695171,0.000000
1.750000,-0.114265,-0.993451,0.000000,4.386000,-0.504472,0.000000
1.760000,-0.070259,-0.997529,0.000000,4.413037,-0.310826,0.000000
1.770000,-0.026047,-0.999661,0.000000,4.427192,-0.115357,0.000000
1.780000,0.018241,-0.999834,0.000000,4.428341,0.080790,0.000000
1.790000,0.062476,-0.998047,0.000000,4.416473,0.276462,0.000000
1.800000,0.106527,-0.994310,0.000000,4.391693,0.470512,0.000000
1.810000,0.150267,-0.988646,0.000000,4.354219,0.661811,0.000000
1.820000,0.193571,-0.981087,0.000000,4.304377,0.849262,0.000000
1.830000,0.236315,-0.971677,0.000000,4.242599,1.031814,0.000000
1.840000,0.278385,-0.960470,0.000000,4.169414,1.208470,0.000000
1.850000,0.319667,-0.947530,0.000000,4.085440,1.378300,0.000000
