t,X0,Y0,Z0,X1,Y1,Z1,X2,Y2,Z2,X'0,Y'0,Z'0,X'1,Y'1,Z'1,X'2,Y'2,Z'2
6.384000,0.197161,-0.980371,0.000000,-0.748857,-0.656256,0.000000,0.130535,-0.180158,0.000000,-2.766463,-0.556360,0.000000,-0.885719,4.933103,0.000000,0.881464,1.668976,0.000000
6.400000,0.151095,-0.988519,0.000000,-0.761216,-0.579021,0.000000,0.144366,-0.154850,0.000000,-2.986665,-0.456510,0.000000,-0.663400,4.719435,0.000000,0.847062,1.494678,0.000000
6.417000,0.098587,-0.995128,0.000000,-0.770680,-0.500786,0.000000,0.158438,-0.131004,0.000000,-3.184042,-0.315442,0.000000,-0.454788,4.483768,0.000000,0.807948,1.311004,0.000000
6.434000,0.043075,-0.999072,0.000000,-0.776839,-0.426585,0.000000,0.171815,-0.110269,0.000000,-3.339459,-0.143982,0.000000,-0.274316,4.245911,0.000000,0.765107,1.128608,0.000000
6.450000,-0.011253,-0.999937,0.000000,-0.780032,-0.360422,0.000000,0.183707,-0.093577,0.000000,-3.444874,0.038768,0.000000,-0.128590,4.025373,0.000000,0.720687,0.958125,0.000000
6.467000,-0.070455,-0.997515,0.000000,-0.781065,-0.293929,0.000000,0.195524,-0.078818,0.000000,-3.512426,0.248085,0.000000,0.003414,3.799027,0.000000,0.668742,0.778480,0.000000
6.484000,-0.130419,-0.991459,0.000000,-0.780029,-0.231191,0.000000,0.206416,-0.067098,0.000000,-3.534804,0.464978,0.000000,0.115560,3.584025,0.000000,0.611824,0.600740,0.000000
6.500000,-0.186879,-0.982383,0.000000,-0.777435,-0.175386,0.000000,0.215747,-0.058810,0.000000,-3.516556,0.668957,0.000000,0.206660,3.393584,0.000000,0.553858,0.435581,0.000000
6.517000,-0.246223,-0.969213,0.000000,-0.773182,-0.119323,0.000000,0.224608,-0.052878,0.000000,-3.458727,0.878668,0.000000,0.292038,3.204264,0.000000,0.487917,0.262769,0.000000
6.534000,-0.304276,-0.952584,0.000000,-0.767551,-0.066369,0.000000,0.232313,-0.049858,0.000000,-3.365690,1.075076,0.000000,0.369445,3.027641,0.000000,0.417903,0.093109,0.000000
6.550000,-0.357239,-0.934013,0.000000,-0.761087,-0.019187,0.000000,0.238450,-0.049625,0.000000,-3.250558,1.243265,0.000000,0.438063,2.871599,0.000000,0.348689,-0.063358,0.000000
6.567000,-0.411285,-0.911507,0.000000,-0.753035,0.028284,0.000000,0.243730,-0.052089,0.000000,-3.104150,1.400639,0.000000,0.509146,2.714592,0.000000,0.272045,-0.225861,0.000000
6.584000,-0.462670,-0.886530,0.000000,-0.743774,0.073147,0.000000,0.247684,-0.057280,0.000000,-2.938355,1.533494,0.000000,0.580489,2.564217,0.000000,0.192622,-0.384201,0.000000
6.600000,-0.508346,-0.861153,0.000000,-0.733939,0.113069,0.000000,0.250153,-0.064593,0.000000,-2.769401,1.634801,0.000000,0.649281,2.426439,0.000000,0.115698,-0.529157,0.000000
6.617000,-0.553834,-0.832627,0.000000,-0.722261,0.153087,0.000000,0.251411,-0.074865,0.000000,-2.580926,1.716739,0.000000,0.725072,2.281631,0.000000,0.032039,-0.678587,0.000000
6.634000,-0.596070,-0.802932,0.000000,-0.709268,0.190640,0.000000,0.251233,-0.087636,0.000000,-2.387643,1.772507,0.000000,0.804133,2.136146,0.000000,-0.053203,-0.823040,0.000000
6.650000,-0.632809,-0.774308,0.000000,-0.695786,0.223707,0.000000,0.249733,-0.101861,0.000000,-2.204876,1.801954,0.000000,0.881605,1.996716,0.000000,-0.134492,-0.954242,0.000000
6.667000,-0.668656,-0.743572,0.000000,-0.680077,0.256363,0.000000,0.246707,-0.119231,0.000000,-2.012962,1.810152,0.000000,0.966928,1.844190,0.000000,-0.221551,-1.088404,0.000000
6.684000,-0.701279,-0.712887,0.000000,-0.662896,0.286376,0.000000,0.242199,-0.138835,0.000000,-1.826075,1.796340,0.000000,1.054841,1.685680,0.000000,-0.308836,-1.217013,0.000000
6.700000,-0.729132,-0.684374,0.000000,-0.645344,0.312110,0.000000,0.236602,-0.159241,0.000000,-1.656703,1.765051,0.000000,1.139312,1.529954,0.000000,-0.390719,-1.332889,0.000000
6.717000,-0.755825,-0.654774,0.000000,-0.625205,0.336658,0.000000,0.229225,-0.182908,0.000000,-1.485207,1.714417,0.000000,1.230090,1.356682,0.000000,-0.476899,-1.450474,0.000000
6.734000,-0.779684,-0.626173,0.000000,-0.603520,0.358188,0.000000,0.220395,-0.208525,0.000000,-1.323523,1.647995,0.000000,1.321002,1.174724,0.000000,-0.561659,-1.562382,0.000000
6.750000,-0.799707,-0.600390,0.000000,-0.581704,0.375558,0.000000,0.210782,-0.234331,0.000000,-1.180929,1.572972,0.000000,1.405794,0.995162,0.000000,-0.639597,-1.662608,0.000000
6.767000,-0.818569,-0.574408,0.000000,-0.557052,0.390791,0.000000,0.199223,-0.263464,0.000000,-1.039898,1.481921,0.000000,1.494086,0.795348,0.000000,-0.719879,-1.763849,0.000000
6.784000,-0.835125,-0.550060,0.000000,-0.530922,0.402547,0.000000,0.186324,-0.294273,0.000000,-0.909657,1.381080,0.000000,1.579506,0.586197,0.000000,-0.796966,-1.859938,0.000000
6.800000,-0.848764,-0.528772,0.000000,-0.505030,0.410295,0.000000,0.173015,-0.324726,0.000000,-0.796702,1.278833,0.000000,1.656348,0.380924,0.000000,-0.866078,-1.945976,0.000000
6.817000,-0.861357,-0.508001,0.000000,-0.476211,0.414855,0.000000,0.157697,-0.358554,0.000000,-0.686463,1.163954,0.000000,1.733244,0.154110,0.000000,-0.935329,-2.033127,0.000000
6.834000,-0.872157,-0.489226,0.000000,-0.446133,0.415486,0.000000,0.141241,-0.393830,0.000000,-0.585670,1.044090,0.000000,1.804259,-0.081315,0.000000,-0.999772,-2.116387,0.000000
6.850000,-0.880822,-0.473447,0.000000,-0.416771,0.412362,0.000000,0.124792,-0.428299,0.000000,-0.498749,0.927895,0.000000,1.864846,-0.310328,0.000000,-1.055622,-2.191728,0.000000
6.867000,-0.888570,-0.458740,0.000000,-0.384574,0.404966,0.000000,0.106380,-0.466220,0.000000,-0.414011,0.801932,0.000000,1.921669,-0.561002,0.000000,-1.109487,-2.269204,0.000000
6.884000,-0.894938,-0.446190,0.000000,-0.351484,0.393248,0.000000,0.087103,-0.505441,0.000000,-0.336206,0.674338,0.000000,1.969811,-0.818582,0.000000,-1.157404,-2.344755,0.000000
6.900000,-0.899769,-0.436367,0.000000,-0.319662,0.378174,0.000000,0.068261,-0.543518,0.000000,-0.268426,0.553482,0.000000,2.006401,-1.066624,0.000000,-1.196864,-2.414822,0.000000
6.917000,-0.903754,-0.428051,0.000000,-0.285293,0.357764,0.000000,0.047601,-0.585200,0.000000,-0.201227,0.424854,0.000000,2.035226,-1.335304,0.000000,-1.232679,-2.488973,0.000000
6.934000,-0.906633,-0.421921,0.000000,-0.250528,0.332749,0.000000,0.026386,-0.628146,0.000000,-0.137956,0.296443,0.000000,2.052952,-1.608320,0.000000,-1.262178,-2.563684,0.000000
6.950000,-0.908382,-0.418142,0.000000,-0.217618,0.304939,0.000000,0.006007,-0.669736,0.000000,-0.081025,0.176020,0.000000,2.058906,-1.868268,0.000000,-1.284257,-2.635311,0.000000
6.967000,-0.909258,-0.416233,0.000000,-0.182647,0.270816,0.000000,-0.015983,-0.715198,0.000000,-0.022250,0.048604,0.000000,2.053344,-2.146509,0.000000,-1.301878,-2.713634,0.000000
6.984000,-0.909142,-0.416487,0.000000,-0.147876,0.231953,0.000000,-0.038224,-0.762017,0.000000,0.035904,-0.078373,0.000000,2.035231,-2.425577,0.000000,-1.313808,-2.795033,0.000000
7.000000,-0.908127,-0.418695,0.000000,-0.115526,0.191045,0.000000,-0.059302,-0.807373,0.000000,0.091166,-0.197734,0.000000,2.006695,-2.687727,0.000000,-1.320226,-2.875074,0.000000
7.017000,-0.906066,-0.423136,0.000000,-0.081754,0.142999,0.000000,-0.081771,-0.857001,0.000000,0.151675,-0.324783,0.000000,1.964503,-2.964323,0.000000,-1.322424,-2.964266,0.000000
7.034000,-0.902952,-0.429742,0.000000,-0.048798,0.090278,0.000000,-0.104241,-0.908184,0.000000,0.215356,-0.452496,0.000000,1.910880,-3.237466,0.000000,-1.320414,-3.058036,0.000000
7.050000,-0.899000,-0.437949,0.000000,-0.018690,0.036451,0.000000,-0.125330,-0.957847,0.000000,0.279437,-0.573614,0.000000,1.851148,-3.490122,0.000000,-1.315183,-3.150530,0.000000
7.067000,-0.893631,-0.448802,0.000000,0.012181,-0.025123,0.000000,-0.147619,-1.012272,0.000000,0.353249,-0.703370,0.000000,1.779534,-3.752718,0.000000,-1.306567,-3.253140,0.000000
7.084000,-0.886948,-0.461869,0.000000,0.041778,-0.091102,0.000000,-0.169738,-1.068477,0.000000,0.434258,-0.833927,0.000000,1.701570,-4.008395,0.000000,-1.295226,-3.359854,0.000000
7.100000,-0.879339,-0.476195,0.000000,0.068389,-0.157116,0.000000,-0.190361,-1.123061,0.000000,0.518165,-0.956841,0.000000,1.624284,-4.242234,0.000000,-1.282361,-3.463625,0.000000
7.117000,-0.869709,-0.493565,0.000000,0.095285,-0.231294,0.000000,-0.212030,-1.182902,0.000000,0.616484,-1.086304,0.000000,1.539736,-4.483306,0.000000,-1.266608,-3.577016,0.000000
7.134000,-0.858320,-0.513115,0.000000,0.120732,-0.309506,0.000000,-0.233415,-1.244696,0.000000,0.725201,-1.213091,0.000000,1.453863,-4.716871,0.000000,-1.248931,-3.693350,0.000000
7.150000,-0.845829,-0.533453,0.000000,0.143342,-0.386690,0.000000,-0.253254,-1.304683,0.000000,0.837871,-1.328507,0.000000,1.372226,-4.930003,0.000000,-1.230761,-3.805447,0.000000
7.167000,-0.830485,-0.557042,0.000000,0.165925,-0.472375,0.000000,-0.274003,-1.370408,0.000000,0.969568,-1.445514,0.000000,1.284294,-5.149407,0.000000,-1.210139,-3.927436,0.000000
7.184000,-0.812787,-0.582561,0.000000,0.186996,-0.561727,0.000000,-0.294393,-1.438234,0.000000,1.114855,-1.555443,0.000000,1.194161,-5.361322,0.000000,-1.188589,-4.052684,0.000000
7.200000,-0.793764,-0.608226,0.000000,0.205402,-0.649055,0.000000,-0.313246,-1.504043,0.000000,1.265457,-1.651481,0.000000,1.106017,-5.553333,0.000000,-1.167957,-4.173907,0.000000
